node_id,type,phys_nodeid,role,inception,temp_boot_osid_vers,next_boot_osid,next_boot_osid_vers,startstatus,ready,bootstatus,status,failureaction,routertype,eventstate,state_timestamp,op_mode,op_mode_timestamp,allocstate,allocstate_timestamp,update_accounts,next_op_mode,osid,ntpdrift,jailflag,rtabid,boot_errno,reserved_pid,uuid,reserved_memory,nonfsmounts
c220g1-031103,c220g1,c220g1-031103,testnode,2016-06-30 15:25:01,0,,0,none,0,failed,,fatal,none,PXEWAIT,1557254110.0,PXEKERNEL,1557254110.0,FREE_DIRTY,1557253381.0,0,,9997.0,25.305999999999997,0,0,0,,b8f86cf0-3f00-11e6-b435-eb3e622294a9,0,0
c220g2-011102,c220g2,c220g2-011102,testnode,2016-03-12 22:30:27,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557226754.0,PXEKERNEL,1557226754.0,FREE_DIRTY,1557224860.0,0,,9997.0,12.845999999999998,0,0,0,,4f998dce-e8d4-11e5-a488-a3bb994732a6,0,0
c220g1-031120,c220g1,c220g1-031120,testnode,2016-06-29 22:12:03,0,,0,none,0,okay,,fatal,none,ISUP,1544649481.0,NORMALv2,1544649438.0,FREE_DIRTY,1544649486.0,0,,10030.0,14.959000000000001,0,0,0,,6b165724-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031102,c220g1,c220g1-031102,testnode,2016-06-29 22:12:03,0,,0,none,0,okay,,fatal,none,PXEWAIT,1544649712.0,PXEKERNEL,1544649712.0,FREE_DIRTY,1544644887.0,1,,9997.0,7.545,0,0,0,,6ad9998c-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031125,c220g1,c220g1-031125,testnode,2016-06-29 22:12:03,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557101607.0,PXEKERNEL,1557101607.0,FREE_DIRTY,1557099940.0,0,,9997.0,28.103,0,0,0,,6af92484-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031105,c220g1,c220g1-031105,testnode,2016-06-29 22:12:02,0,,0,none,0,okay,,fatal,manual,ISUP,1555357802.0,NORMALv2,1555357739.0,RES_READY,1555357806.0,0,,10828.0,30.415,0,0,0,,6abc1b81-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031108,c220g1,c220g1-031108,testnode,2016-06-29 22:12:02,0,,0,none,0,okay,,fatal,none,ISUP,1544649483.0,NORMALv2,1544649437.0,FREE_DIRTY,1544649486.0,0,,10030.0,21.366999999999997,0,0,0,,6a9e762c-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031113,c220g1,c220g1-031113,testnode,2016-06-29 22:12:02,0,9997.0,0,none,0,okay,,fatal,none,TBFAILED,1549374817.0,RELOAD,1546656871.0,FREE_DIRTY,1546642441.0,0,,10601.0,0.0,0,0,2,,6a620458-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031109,c220g1,c220g1-031109,testnode,2016-06-29 22:12:02,0,,0,none,0,okay,,fatal,static-ddijk,ISUP,1555974232.0,NORMALv2,1555974192.0,RES_READY,1555974233.0,0,,10030.0,3.7089999999999996,0,0,0,,6a7fe372-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031124,c220g1,c220g1-031124,testnode,2016-06-29 22:12:02,0,,0,none,0,okay,,fatal,manual,ISUP,1556393481.0,NORMALv2,1556393416.0,RES_READY,1556393483.0,0,,10828.0,26.986,0,0,0,,6a43e138-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031119,c220g1,c220g1-031119,testnode,2016-06-29 22:12:01,0,,0,none,0,okay,,fatal,static-ddijk,ISUP,1557252196.0,NORMALv2,1557252157.0,RES_READY,1557252197.0,0,,10686.0,12.764000000000001,0,0,0,,6a09b776-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031111,c220g1,c220g1-031111,testnode,2016-06-29 22:12:01,0,,0,0,0,okay,,fatal,static-ddijk,ISUP,1556895234.0,NORMALv2,1556895188.0,RES_READY,1556895236.0,0,,10687.0,21.17,0,0,0,,6a25a162-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031121,c220g1,c220g1-031121,testnode,2016-06-29 22:12:01,0,,0,none,0,okay,,fatal,none,PXEWAIT,1544649716.0,PXEKERNEL,1544649716.0,FREE_DIRTY,1544644887.0,1,,9997.0,24.734,0,0,0,,69edb825-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031112,c220g1,c220g1-031112,testnode,2016-06-29 22:12:01,0,,0,none,0,okay,,fatal,manual,ISUP,1556393482.0,NORMALv2,1556393418.0,RES_READY,1556393483.0,0,,10828.0,29.738000000000003,0,0,0,,69d0d9c2-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031104,c220g1,c220g1-031104,testnode,2016-06-29 22:12:00,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557245815.0,PXEKERNEL,1557245815.0,FREE_DIRTY,1557187925.0,0,,9997.0,23.639,0,0,0,,6994b913-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031107,c220g1,c220g1-031107,testnode,2016-06-29 22:12:01,0,,0,none,0,okay,,fatal,static-ddijk,ISUP,1555360493.0,NORMALv2,1555360428.0,RES_READY,1555360498.0,0,,10701.0,22.061,0,0,0,,69b44826-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031106,c220g1,c220g1-031106,testnode,2016-06-29 22:12:00,0,,0,none,0,okay,,fatal,manual,ISUP,1555360446.0,NORMALv2,1555360380.0,RES_READY,1555360447.0,0,,10828.0,17.674,0,0,0,,6977ea06-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031122,c220g1,c220g1-031122,testnode,2016-06-29 22:12:00,0,,0,0,0,okay,,fatal,static-ddijk,ISUP,1556895232.0,NORMALv2,1556895185.0,RES_READY,1556895236.0,0,,10688.0,9.285,0,0,0,,693d70a3-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031115,c220g1,c220g1-031115,testnode,2016-06-29 22:12:00,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557149470.0,PXEKERNEL,1557149470.0,FREE_DIRTY,1557091767.0,0,,9997.0,10.854000000000001,0,0,0,,695b1876-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-030816,c220g1,c220g1-030816,testnode,2016-06-02 21:22:15,0,,0,none,0,okay,,fatal,manual,ISUP,1555064415.0,NORMALv2,1555064352.0,RES_READY,1555064419.0,0,,10828.0,18.921,0,0,0,,fd11004e-2931-11e6-8934-779211246dcb,0,0
c220g1-030819,c220g1,c220g1-030819,testnode,2016-06-02 21:22:15,0,,0,none,0,okay,,fatal,none,ISUP,1544643305.0,NORMALv2,1544643257.0,FREE_DIRTY,1544639572.0,0,,10030.0,18.434,0,0,0,,fce53e2f-2931-11e6-8934-779211246dcb,0,0
c220g1-030808,c220g1,c220g1-030808,testnode,2016-06-02 21:22:15,0,9997.0,0,none,0,okay,,fatal,none,ISUP,1549374819.0,RELOAD,1545022852.0,FREE_DIRTY,1543414821.0,0,,10601.0,20.222,0,0,2,,fcfbab77-2931-11e6-8934-779211246dcb,0,0
c220g1-030805,c220g1,c220g1-030805,testnode,2016-06-02 21:22:15,0,9997.0,0,none,0,okay,,fatal,none,SHUTDOWN,1557266919.0,RELOAD,1551527155.0,FREE_DIRTY,1551470306.0,0,,10697.0,18.845,0,0,2,,fccd5cf8-2931-11e6-8934-779211246dcb,0,0
c220g1-030810,c220g1,c220g1-030810,testnode,2016-06-02 21:22:15,0,9997.0,0,none,0,okay,,fatal,none,SHUTDOWN,1552545796.0,RELOAD,1552488741.0,FREE_DIRTY,1551845107.0,0,,10955.0,18.887,0,0,0,,fcb5a91e-2931-11e6-8934-779211246dcb,0,0
c220g1-030807,c220g1,c220g1-030807,testnode,2016-06-02 21:22:14,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557250084.0,PXEKERNEL,1557250084.0,FREE_DIRTY,1557237882.0,0,,9997.0,20.041,0,0,0,,fc9d02eb-2931-11e6-8934-779211246dcb,0,0
c220g1-030806,c220g1,c220g1-030806,testnode,2016-06-02 21:22:14,0,,0,0,0,okay,,fatal,static-ddijk,ISUP,1556739898.0,NORMALv2,1556739851.0,RES_READY,1556739898.0,0,,10688.0,19.874000000000002,0,0,0,,fc6e3eeb-2931-11e6-8934-779211246dcb,0,0
c220g1-030812,c220g1,c220g1-030812,testnode,2016-06-02 21:22:14,0,9997.0,0,none,0,okay,,fatal,none,SHUTDOWN,1544657669.0,RELOAD,1544196272.0,FREE_DIRTY,1542735830.0,1,,10601.0,15.876,0,0,0,,fc56a610-2931-11e6-8934-779211246dcb,0,0
c220g1-030814,c220g1,c220g1-030814,testnode,2016-06-02 21:22:14,0,,0,0,0,okay,,fatal,static-ddijk,ISUP,1557264678.0,NORMALv2,1557264625.0,RES_READY,1557264683.0,0,,10761.0,20.14,0,0,0,,fc3e40f0-2931-11e6-8934-779211246dcb,0,0
c220g1-030804,c220g1,c220g1-030804,testnode,2016-06-02 21:22:14,0,,0,0,0,okay,,fatal,static-ddijk,ISUP,1556739907.0,NORMALv2,1556739861.0,RES_READY,1556739909.0,0,,10687.0,23.294,0,0,0,,fc0e144e-2931-11e6-8934-779211246dcb,0,0
c220g1-030811,c220g1,c220g1-030811,testnode,2016-06-02 21:22:14,0,,0,none,0,okay,,fatal,static-ddijk,ISUP,1557118502.0,NORMALv2,1557118456.0,RES_READY,1557030173.0,0,,11024.0,24.853,0,0,0,,fc263cad-2931-11e6-8934-779211246dcb,0,0
c220g1-030801,c220g1,c220g1-030801,testnode,2016-06-02 21:22:13,0,9997.0,0,1,0,okay,,fatal,none,ISUP,1555458948.0,NORMALv2,1555458906.0,FREE_DIRTY,1555458949.0,0,RELOAD,10693.0,11.578,0,0,0,,fbf60a12-2931-11e6-8934-779211246dcb,0,0
c220g1-030802,c220g1,c220g1-030802,testnode,2016-06-02 21:22:13,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557199450.0,PXEKERNEL,1557199450.0,FREE_DIRTY,1556155421.0,0,,9997.0,19.081,0,0,0,,fbde3543-2931-11e6-8934-779211246dcb,0,0
c220g1-030820,c220g1,c220g1-030820,testnode,2016-06-02 21:22:13,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557264494.0,PXEKERNEL,1557264494.0,FREE_DIRTY,1557206791.0,0,,9997.0,10.776,0,0,0,,fbc570f5-2931-11e6-8934-779211246dcb,0,0
c220g1-030626,c220g1,c220g1-030626,testnode,2016-04-15 14:38:53,0,9997.0,0,none,0,okay,,fatal,none,ISUP,1549374861.0,RELOAD,1547825175.0,FREE_DIRTY,1546648857.0,0,,10601.0,16.846,0,0,0,,af604175-0341-11e6-a488-a3bb994732a6,0,0
c220g5-110925,c220g5,c220g5-110925,testnode,2018-04-19 23:25:54,0,,0,none,0,okay,,fatal,static-ddijk,ISUP,1556940204.0,NORMALv2,1556940165.0,RES_READY,1556940209.0,0,,10222.0,7.682,0,0,0,,ea28527e-4452-11e8-8204-8b7ab9df1d3e,0,0
c220g1-030617,c220g1,c220g1-030617,testnode,2016-04-15 14:38:53,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557190431.0,PXEKERNEL,1557190431.0,FREE_DIRTY,1556585615.0,0,,9997.0,29.086,0,0,0,,af49f97e-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030601,c220g1,c220g1-030601,testnode,2016-04-15 14:38:52,0,,0,0,0,okay,,fatal,static-ddijk,ISUP,1557254018.0,NORMALv2,1557253975.0,RES_READY,1557254022.0,0,,10687.0,26.155,0,0,0,,af1b33de-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030622,c220g1,c220g1-030622,testnode,2016-04-15 14:38:52,0,,0,none,0,okay,,fatal,manual,ISUP,1555360449.0,NORMALv2,1555360383.0,RES_READY,1555360452.0,0,,10828.0,21.982,0,0,0,,af31713e-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030611,c220g1,c220g1-030611,testnode,2016-04-15 14:38:52,0,,0,none,0,okay,,fatal,static-ddijk,ISUP,1557260160.0,NORMALv2,1557260068.0,RES_READY,1557260163.0,0,,10189.0,20.32,0,0,0,,af04db12-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030623,c220g1,c220g1-030623,testnode,2016-04-15 14:38:52,0,,0,none,0,okay,,fatal,manual,ISUP,1555360450.0,NORMALv2,1555360383.0,RES_READY,1555360452.0,0,,10828.0,26.406999999999996,0,0,0,,aeed71e6-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030607,c220g1,c220g1-030607,testnode,2016-04-15 14:38:52,0,,0,none,0,okay,,fatal,manual,ISUP,1555360489.0,NORMALv2,1555360423.0,RES_READY,1555360493.0,0,,10828.0,20.978,0,0,0,,aed50a6b-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030624,c220g1,c220g1-030624,testnode,2016-04-15 14:38:51,0,,0,none,0,okay,,fatal,static-ddijk,ISUP,1557096986.0,NORMALv2,1557096941.0,RES_READY,1557096989.0,0,,10686.0,11.540999999999999,0,0,0,,aea652ab-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030621,c220g1,c220g1-030621,testnode,2016-04-15 14:38:52,0,,0,none,0,okay,,fatal,manual,ISUP,1555360445.0,NORMALv2,1555360380.0,RES_READY,1555360447.0,0,,10828.0,22.511,0,0,0,,aebe473a-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030604,c220g1,c220g1-030604,testnode,2016-04-15 14:38:51,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557069613.0,PXEKERNEL,1557069613.0,FREE_DIRTY,1557011912.0,0,,9997.0,17.24,0,0,0,,ae8f91e3-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030619,c220g1,c220g1-030619,testnode,2016-04-15 14:38:51,0,,0,none,0,okay,,fatal,none,ISUP,1544768170.0,NORMALv2,1544768123.0,FREE_DIRTY,1544768171.0,0,,10222.0,18.828,0,0,0,,ae79c75f-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030608,c220g1,c220g1-030608,testnode,2016-04-15 14:38:51,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557266917.0,PXEKERNEL,1557266917.0,FREE_DIRTY,1557266461.0,0,,9997.0,29.212,0,0,0,,ae62b187-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030605,c220g1,c220g1-030605,testnode,2016-04-15 14:38:51,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557099755.0,PXEKERNEL,1557099755.0,FREE_DIRTY,1557087753.0,0,,9997.0,17.621,0,0,0,,ae34d1cc-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030603,c220g1,c220g1-030603,testnode,2016-04-15 14:38:51,0,,0,none,0,okay,,fatal,none,PXEWAIT,1544725160.0,PXEKERNEL,1544725160.0,FREE_DIRTY,1544673733.0,1,,9997.0,13.168,0,0,0,,ae4c77ff-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030627,c220g1,c220g1-030627,testnode,2016-04-15 14:38:51,0,,0,none,0,failed,,fatal,none,PXEWAIT,1544723234.0,PXEKERNEL,1544723234.0,FREE_DIRTY,1544721484.0,1,,9997.0,13.273,0,0,0,,ae1caad6-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030625,c220g1,c220g1-030625,testnode,2016-04-15 14:38:50,0,,0,none,0,okay,,fatal,static-ddijk,ISUP,1557096990.0,NORMALv2,1557096944.0,RES_READY,1557096994.0,0,,10686.0,12.582,0,0,0,,ae049e6b-0341-11e6-a488-a3bb994732a6,0,0
leafsw-hp5930-031142,comware,leafsw-hp5930-031142,testswitch,,0,,0,,0,unknown,,fatal,none,,,,,,,0,,,,0,0,0,,,0,0
c220g1-030609,c220g1,c220g1-030609,testnode,2016-04-15 14:38:50,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557069613.0,PXEKERNEL,1557069613.0,FREE_DIRTY,1557011912.0,0,,9997.0,21.208000000000002,0,0,0,,add36790-0341-11e6-a488-a3bb994732a6,0,0
c220g1-030606,c220g1,c220g1-030606,testnode,2016-04-15 14:38:50,0,,0,none,0,okay,,fatal,static-ddijk,ISUP,1557032244.0,NORMALv2,1557032200.0,RES_READY,1557032248.0,0,,10222.0,32.312,0,0,0,,adbce933-0341-11e6-a488-a3bb994732a6,0,0
c220g1-031114,c220g1,c220g1-031114,testnode,2016-06-29 22:12:00,0,,0,none,0,okay,,fatal,manual,ISUP,1555357323.0,NORMALv2,1555357260.0,RES_READY,1555357324.0,0,,10828.0,12.368,0,0,0,,691fd6f5-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031110,c220g1,c220g1-031110,testnode,2016-06-29 22:12:00,0,,0,none,0,okay,,fatal,static,ISUP,1516721151.0,NORMALv2,1516721110.0,RES_READY,1470759803.0,0,,10032.0,,0,0,0,,6900f4bb-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031116,c220g1,c220g1-031116,testnode,2016-06-29 22:11:59,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557251311.0,PXEKERNEL,1557251311.0,FREE_DIRTY,1556768373.0,0,,9997.0,0.0,0,0,0,,68c62783-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031118,c220g1,c220g1-031118,testnode,2016-06-29 22:11:59,0,9997.0,0,none,0,okay,,fatal,none,SHUTDOWN,1549374443.0,RELOAD,1548646020.0,FREE_DIRTY,1547484262.0,1,,10601.0,10.224,0,0,0,,68e3b4cd-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031117,c220g1,c220g1-031117,testnode,2016-06-29 22:11:59,0,,0,none,0,okay,,fatal,none,PXEWAIT,1544649712.0,PXEKERNEL,1544649712.0,FREE_DIRTY,1544644887.0,1,,9997.0,11.989,0,0,0,,68a7bce9-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031123,c220g1,c220g1-031123,testnode,2016-06-29 22:11:59,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557262151.0,PXEKERNEL,1557262151.0,FREE_DIRTY,1557204392.0,0,,9997.0,18.698,0,0,0,,686f4f2a-3e70-11e6-b435-eb3e622294a9,0,0
c220g1-031101,c220g1,c220g1-031101,testnode,2016-06-29 22:11:59,0,9997.0,0,none,0,okay,,fatal,none,SHUTDOWN,1551858205.0,RELOAD,1550536767.0,FREE_DIRTY,1549396469.0,0,,10697.0,22.068,0,0,2,,688b45ae-3e70-11e6-b435-eb3e622294a9,0,0
