,qty,date_time,cum_qty
pc3000,157,2005-08-03 10:10:39,157
pc1500,2,2007-06-20 07:16:10,159
pc850,3,2007-06-20 07:16:14,162
pcdp,2,2007-11-28 12:42:44,164
pc2400w,16,2007-12-19 09:49:34,180
pc2830qx2,1,2009-05-25 14:35:37,181
pcpg-i2,11,2009-08-05 00:12:05,192
d710,161,2009-08-18 09:21:49,353
spp,3,2009-12-08 10:59:36,356
pc2400hp,3,2011-05-19 15:00:46,359
d2100,2,2012-01-06 19:54:48,361
d820,16,2012-05-25 16:50:44,377
interconnect,9,2012-06-27 12:07:17,386
pcivy,1,2013-02-01 16:19:35,387
bbg,1,2013-03-11 21:45:19,388
gec16port,1,2013-03-13 15:07:07,389
gec16-port,1,2013-03-13 16:02:43,390
enodeb,8,2014-03-12 08:54:37,398
ctrlnode,6,2014-05-21 21:19:51,404
r320,128,2014-05-24 20:30:48,532
c6220,64,2014-05-30 20:36:37,596
r720,2,2014-09-25 12:26:55,598
m400,315,2014-11-22 22:39:51,913
C240M4,1,2015-03-02 23:24:49,914
c8220,96,2015-03-30 14:23:52,1010
c8220x,4,2015-03-31 09:32:16,1014
nuc5300,17,2015-07-14 16:09:36,1031
d430,160,2016-01-12 20:50:21,1191
pcvm,344,2016-02-19 14:10:13,1535
nexus5,16,2016-02-29 15:45:20,1551
blockstore,31,2016-03-01 16:14:34,1582
c220g2,163,2016-03-11 02:34:39,1745
c6320,84,2016-03-24 10:00:05,1829
c4130,6,2016-03-24 14:57:07,1835
c220g1,90,2016-04-15 13:20:23,1925
m510,270,2016-04-29 15:36:32,2195
dss7500,2,2016-05-13 12:37:53,2197
c240g1,6,2016-05-25 14:47:18,2203
c240g2,4,2016-05-26 12:14:14,2207
d530,1,2016-10-18 14:51:32,2208
d430k,4,2016-10-24 16:53:32,2212
nuc6260,1,2017-06-27 17:01:09,2213
sdr,2,2017-08-29 11:55:02,2215
dl360,1,2017-12-29 11:58:23,2216
xl170,200,2018-01-25 19:19:30,2416
c240g5,32,2018-02-06 00:40:00,2448
c220g5,224,2018-02-17 22:33:33,2672
mellanox-2700,1,2018-02-20 14:00:02,2673
mellanox-2410,5,2018-02-20 14:08:27,2678
netscout-3900,2,2018-02-25 09:49:16,2680
mlnx-sn2410,3,2018-03-22 12:38:19,2683
dell-s3048,1,2018-03-22 12:38:52,2684
c6420,72,2018-03-23 17:47:36,2756
force10-s5048,12,2018-03-30 23:42:53,2768
dell-s4048,6,2018-04-09 15:22:09,2774
iris030,2,2018-05-11 13:44:04,2776
d2950,1,2018-05-22 14:13:06,2777
force10-s4048,1,2018-06-25 16:33:46,2778
nuc8650,2,2018-07-05 08:46:29,2780
nuc7100,8,2018-08-20 13:11:51,2788
nuc8559,1,2018-09-12 17:00:55,2789
ibm8335,6,2019-01-18 11:07:50,2795
force10-s3124,5,2019-02-13 16:38:28,2800
d740,16,2019-02-13 16:42:21,2816
dellrest-s5248,5,2019-02-23 08:41:23,2821
d840,3,2019-02-23 08:50:20,2824
faros_sfp,1,2019-03-20 14:40:57,2825
x310,3,2019-03-26 13:29:46,2828
n310,1,2019-03-29 08:52:59,2829
